_id,request_id,generated_at,keyword,country,region,language,sources_used,aliexpress_query.ship_to_country,aliexpress_query.target_currency,aliexpress_query.target_language,ali_avg_sale_price,ali_avg_evaluate_rate,category_name,trends_count,trends_mean,trends_max,trends_min,trends_std,trends_first_date,trends_first_value,trends_last_date,trends_last_value,trends_slope,yt_total_views,yt_total_likes,yt_total_comments,yt_videos_count,engagement,cluster
69e9b2e9bd579ee506652784,5aaf0dbd-6d67-4e5a-aa2a-f309f4261b63,2026-04-23 05:48:42.766,anillo remoto,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,127.77285714285712,90.85714285714286,Consumer Electronics,91,1.098901098901099,100,0,10.482848367219182,2026-01-22,0,2026-04-22,0,0.020703933747412,2717.0,47.0,24.0,12.0,0.026131762973868235,3
69e9b3c7bd579ee5066527f7,2bcd16dd-736b-483e-b2f5-aad2cbad2ff8,2026-04-23 05:52:28.568,aspiradora portatil,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,120.219,91.78,Home Appliances,91,2.5494505494505493,100,0,10.961816289348056,2026-01-22,0,2026-04-22,5,0.0665551839464883,173826.0,4265.0,87.0,12.0,0.02503653078365722,0
69e9b425bd579ee50665286d,e8f6a95f-c390-480f-9fdd-35a3fe5954b9,2026-04-23 05:54:02.187,reloj ventilador,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,150.01,93.26,Home Appliances,91,3.076923076923077,100,0,14.9318680599811,2026-01-22,0,2026-04-22,0,0.1640388596910336,177004.0,997.0,4.0,6.0,0.00565523942961741,3
69e9b47bbd579ee5066528dd,283ed5f5-ed6f-44f2-8c8e-394a2c284ca3,2026-04-23 05:55:21.758,luz pastillo baseus,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,77.05111111111111,94.32222222222222,Lights & Lighting,91,1.098901098901099,100,0,10.482848367219182,2026-01-22,0,2026-04-22,0,0.0191113234591495,,,,,0.0,3
69e9b755bd579ee506652946,6bf05d25-9272-4255-9935-1011171c98a3,2026-04-23 06:07:24.550,power bank,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,29.314,93.67,Lights & Lighting,91,50.5054945054945,100,32,11.721180852886816,2026-01-23,50,2026-04-23,32,-0.0306577480490523,1357.0,26.0,1.0,1.0,0.01989683124539425,3
69e9b7c6bd579ee5066529b1,4969d089-c742-4e41-8062-9c63e6972711,2026-04-23 06:09:17.883,ventilador de cuello,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,68.80199999999999,93.09,Home Appliances,91,3.5164835164835164,100,0,11.99755774903342,2026-01-23,0,2026-04-23,0,0.1129638477464564,5938.0,66.0,2.0,20.0,0.011451667228022903,3
69e9b810bd579ee506652a2f,629f4537-1387-4bb5-8616-206a678f95d9,2026-04-23 06:10:45.644,bocina retro,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,21.065,68.15,Sports & Entertainment,91,1.098901098901099,100,0,10.482848367219184,2026-01-23,0,2026-04-23,0,0.0684822423952858,13818.0,245.0,16.0,12.0,0.01888840642640035,3
69e9ba82fd442dc3a69cdba5,20ff9613-ae04-45d7-a6c6-48e6c15022ab,2026-04-23 06:19:51.761,laser pointer,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,48.03888888888889,94.65555555555557,Sports & Entertainment,91,1.989010989010989,100,0,11.993048454551127,2026-01-23,0,2026-04-23,0,0.114890906195254,2.0,0.0,0.0,2.0,0.0,3
69e9fb4b4d28cb7da6d875c4,638e2ff0-9c2a-4477-b198-13a53e4f8258,2026-04-23 10:57:57.300,lavamanos,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,23.96,93.09,Home & Garden,31,71.19354838709677,100,50,11.0917968332118,2026-03-24,67,2026-04-23,61,-0.2221774193548387,100128.0,869.0,15.0,45.0,0.008828699264940875,3
69e9fc454d28cb7da6d8761f,c40c22ba-fb79-44df-8c02-17e14845f0c6,2026-04-23 11:01:37.127,ducha,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,17.613,91.24,Home & Garden,31,84.96774193548387,100,73,7.985336022851475,2026-03-24,88,2026-04-23,92,-0.1366935483870968,30801.0,463.0,17.0,31.0,0.015583909613324242,3
