keyword,category_name,country,trends_mean,trends_slope,yt_total_views,yt_engagement,ali_avg_sale_price,cluster,success_proba,rf_prob,xgb_prob_high,forecast_mean,trend_quality,consistency_score,social_velocity,POS,tier
bocina retro,Sports & Entertainment,MX,1.098901,0.068482,13818.0,0.018888,21.065,Muerto,0.003512,0.0,0.004388,7.262303,0.006554,2.8e-05,20.076923,0.173255,LOW
laser pointer,Sports & Entertainment,MX,1.989011,0.114891,2.0,0.0,48.038889,Muerto,0.004628,0.0,0.004388,12.329193,0.017588,6e-06,0.0,0.170899,LOW
lavamanos,Home & Garden,MX,71.193548,-0.222177,100128.0,0.008829,23.96,Muerto,0.003432,0.0,0.004423,51.197581,-1.308126,1.5e-05,19.217391,0.135455,LOW
ducha,Home & Garden,MX,84.967742,-0.136694,30801.0,0.015584,17.613,Muerto,0.005823,0.0,0.004419,72.665323,-1.292611,0.00034,15.0,0.175832,LOW
cajas de carton,Jewelry & Accessories,MX,67.645161,0.865726,1142104.0,0.012444,24.048,Estable,0.032019,0.08924,0.017436,100.0,2.152221,0.0,330.511628,0.247863,LOW
faros led para carro,"Automobiles, Parts & Accessories",MX,24.903226,2.252016,147370.0,0.093147,72.969,Estable,0.875411,0.06,0.013585,100.0,1.468205,0.0,490.25,0.570315,MEDIUM
lavadora,Home & Garden,MX,88.483871,-0.118145,330537.0,0.048932,20.329,Estable,0.008358,0.025,0.004419,77.850806,-1.271808,0.000732,539.133333,0.237106,LOW
cortina plastica,Home & Garden,MX,3.225806,0.080645,,0.0,27.535,Muerto,0.008025,0.005,0.004388,10.483871,0.01372,0.0,0.0,0.17141,LOW
mouse inalambrico,Computer & Office,MX,50.903226,0.064516,8109.0,0.021704,36.523,Muerto,0.002371,0.02891,0.004431,56.709677,0.118875,0.0,29.333333,0.172748,LOW
teclado gamer,Computer & Office,MX,29.580645,1.258468,1108.0,0.030686,313.666,Muerto,0.094916,0.763147,0.006873,100.0,1.17103,0.0,17.0,0.23846,LOW
pecera de vidrio,Home & Garden,MX,33.322581,3.349194,28150.0,0.009414,26.472,Viral/Premium,0.993523,0.925476,0.774158,100.0,2.973955,0.0,53.0,0.648528,MEDIUM
