_id,request_id,generated_at,keyword,country,region,language,sources_used,aliexpress_query.ship_to_country,aliexpress_query.target_currency,aliexpress_query.target_language,ali_avg_sale_price,ali_avg_evaluate_rate,category_name,trends_count,trends_mean,trends_max,trends_min,trends_std,trends_first_date,trends_first_value,trends_last_date,trends_last_value,trends_slope,yt_total_views,yt_total_likes,yt_total_comments,yt_videos_count,month,quarter,day_of_week,week_of_year,trend_growth,trend_acceleration,stability_score,social_velocity,comment_ratio,interaction_balance,trend_quality,price_score,value_score,volatility,momentum_strength,consistency_score,engagement_quality,rolling_slope_7d,rolling_slope_30d,days_trending,acceleration_change,trend_score,engagement_rate
69e9b125bd579ee50665257e,3201aaa2-b2d8-4f0a-bebf-663d096f655a,2026-04-23 05:41:06.739,jaulas,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,39.81888888888889,94.4,Home & Garden,91,55.24175824175824,100,0,15.172592731882386,2026-01-22,64,2026-04-22,52,0.0388119127249561,4615790.0,73765.0,548.0,46.0,4,2,3,17,-12,-0.13043478260869565,3.4157638887953654,1581.127659574468,0.0074288967817151535,0.007387571655408133,0.13257232994098236,0.024498462040994092,2.312654816669842,0.26977450930076147,3.531884057971005,2.574107620937541e-07,0.0074288967817151535,0.0,0.0,0,0.0,42.21883654334616,0.016099732418560546
69e9b1a6bd579ee506652615,d834dcfb-91c2-4fe5-b192-886943ea7685,2026-04-23 05:43:12.932,iphone,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,16.615000000000002,97.38,Phones & Telecommunications Accessories,91,65.2967032967033,100,54,8.561534786466613,2026-01-22,71,2026-04-22,54,-0.1431438127090301,697887.0,24479.0,582.0,10.0,4,2,3,17,-17,-0.18478260869565216,6.829102728269544,2278.2727272727275,0.023774509803921567,0.02326230947250818,-0.9775438019061421,0.056769798467215436,5.528242974737439,0.12913967604317284,-13.026086956521738,0.00019132542451270174,0.023774509803921567,0.0,0.0,0,0.0,34.561431349976914,0.035909773488009535
69e9b1fabd579ee506652689,baeef428-b1b9-4d1b-b743-e2df94b0ce33,2026-04-23 05:44:43.095,destornillador electrico,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,33.944,95.97,Tools,91,3.989010989010989,100,0,12.324766849716786,2026-01-22,0,2026-04-22,20,0.1409300844083452,541032.0,19235.0,569.0,39.0,4,2,3,17,20,0.21739130434782608,0.29936816411131234,495.1,0.029579954252443336,0.028780610956829083,0.04218998063737859,0.028617216117216116,2.7463942307692304,2.4703827826524836,12.824637681159412,4.440396650923402e-06,0.029579954252443336,0.0,0.0,0,0.0,25.37128632278006,0.03660405187853606
69e9b2a2bd579ee50665271a,20acd268-bcd6-447b-a44e-a1abdd378ea5,2026-04-23 05:47:22.037,teclado dareu,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,440.086,39.33,Computer & Office,91,1.098901098901099,100,0,10.482848367219182,2026-01-22,0,2026-04-22,0,0.0445930880713489,,,,,4,2,3,17,0,0.0,0.09569934773659486,0.0,0.0,1.0,0.004267529441988618,0.002267131579782627,0.08916628503285073,4.994446080716992,4.05797101449275,2.8012817989005377e-05,0.0,0.0,0.0,0,0.0,6.084988385993673,0.0
69e9b2e9bd579ee506652784,5aaf0dbd-6d67-4e5a-aa2a-f309f4261b63,2026-04-23 05:48:42.766,anillo remoto,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,127.77285714285712,90.85714285714286,Consumer Electronics,91,1.098901098901099,100,0,10.482848367219182,2026-01-22,0,2026-04-22,0,0.020703933747412,2717.0,47.0,24.0,12.0,4,2,3,17,0,0.0,0.09569934773659486,5.461538461538462,0.5,0.3472222222222222,0.0019813529552090026,0.007765611652854974,0.7055612873165377,4.994446080716992,1.884057971014492,2.8012817989005377e-05,0.5,0.0,0.0,0,0.0,17.79013916827813,0.02612214863870493
69e9b3c7bd579ee5066527f7,2bcd16dd-736b-483e-b2f5-aad2cbad2ff8,2026-04-23 05:52:28.568,aspiradora portatil,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,120.219,91.78,Home Appliances,91,2.5494505494505493,100,0,10.961816289348056,2026-01-22,0,2026-04-22,5,0.0665551839464883,173826.0,4265.0,87.0,12.0,4,2,3,17,5,0.05434782608695652,0.2131323945946924,334.7692307692308,0.020393811533052038,0.02021594302779692,0.01418506572720528,0.008249531839068134,0.7571420321896732,3.0883135675872233,6.056521739130435,1.7351765664412572e-05,0.020393811533052038,0.0,0.0,0,0.0,19.000859102912912,0.025036386752345725
69e9b425bd579ee50665286d,e8f6a95f-c390-480f-9fdd-35a3fe5954b9,2026-04-23 05:54:02.187,reloj ventilador,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,150.01,93.26,Home Appliances,91,3.076923076923077,100,0,14.9318680599811,2026-01-22,0,2026-04-22,0,0.1640388596910336,177004.0,997.0,4.0,6.0,4,2,3,17,0,0.0,0.19313008777997168,143.0,0.004008016032064128,0.00499001996007984,0.03168083937145578,0.006622078008078936,0.6175749950334416,3.6625336750897044,14.927536231884059,3.274704352535211e-07,0.004008016032064128,0.0,0.0,0,0.0,16.66644577816471,0.005655207480014689
69e9b47bbd579ee5066528dd,283ed5f5-ed6f-44f2-8c8e-394a2c284ca3,2026-04-23 05:55:21.758,luz pastillo baseus,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,77.05111111111111,94.32222222222222,Lights & Lighting,91,1.098901098901099,100,0,10.482848367219182,2026-01-22,0,2026-04-22,0,0.0191113234591495,,,,,4,2,3,17,0,0.0,0.09569934773659486,0.0,0.0,1.0,0.0018289411894236909,0.012812117415938275,1.2084673860433335,4.994446080716992,1.7391304347826044,2.8012817989005377e-05,0.0,0.0,0.0,0,0.0,11.497750064030448,0.0
69e9b755bd579ee506652946,6bf05d25-9272-4255-9935-1011171c98a3,2026-04-23 06:07:24.550,power bank,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,29.314,93.67,Lights & Lighting,91,50.5054945054945,100,32,11.721180852886816,2026-01-23,50,2026-04-23,32,-0.0306577480490523,1357.0,26.0,1.0,1.0,4,2,3,17,-18,-0.1956521739130435,3.9701891742253856,13.5,0.037037037037037035,0.07142857142857142,-0.12171705941047688,0.032988058322887114,3.089991423104836,0.22757146524700245,-2.789855072463759,8.119996353340257e-06,0.037037037037037035,0.0,0.0,0,0.0,26.266939194638297,0.019882179675994108
69e9b7c6bd579ee5066529b1,4969d089-c742-4e41-8062-9c63e6972711,2026-04-23 06:09:17.883,ventilador de cuello,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,68.80199999999999,93.09,Home Appliances,91,3.5164835164835164,100,0,11.99755774903342,2026-01-23,0,2026-04-23,0,0.1129638477464564,5938.0,66.0,2.0,20.0,4,2,3,17,0,0.0,0.27054955895426,3.238095238095238,0.029850746268656716,0.043478260869565216,0.03056231918557996,0.014326237070571046,1.3336294088994587,2.6563935648711468,10.279710144927533,6.159236400666372e-06,0.029850746268656716,0.0,0.0,0,0.0,15.943698769093768,0.011449739013301903
69e9b810bd579ee506652a2f,629f4537-1387-4bb5-8616-206a678f95d9,2026-04-23 06:10:45.644,bocina retro,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,21.065,68.15,Sports & Entertainment,91,1.098901098901099,100,0,10.482848367219184,2026-01-23,0,2026-04-23,0,0.0684822423952858,13818.0,245.0,16.0,12.0,4,2,3,17,0,0.0,0.09569934773659484,20.076923076923077,0.06504065040650407,0.0648854961832061,0.006553705928768234,0.04532064355313845,3.0886018581463857,4.994446080716993,6.231884057971008,2.801281798900533e-05,0.06504065040650407,0.0,0.0,0,0.0,13.378560413208788,0.018887039583182576
