request_id,generated_at,keyword,country,region,window_days,baseline_days,trends_score,date,trend_value
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-02-16,61
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-02-23,56
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-03-02,61
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-03-09,63
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-03-16,62
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-03-23,63
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-03-30,54
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-04-06,60
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-04-13,62
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-04-20,67
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-04-27,67
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-05-04,70
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-05-11,71
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-05-18,68
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-05-25,69
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-06-01,76
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-06-08,73
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-06-15,72
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-06-22,78
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-06-29,86
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-07-06,94
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-07-13,83
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-07-20,73
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-07-27,67
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-08-03,66
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-08-10,64
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-08-17,61
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-08-24,64
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-08-31,58
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-09-07,55
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-09-14,56
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-09-21,57
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-09-28,59
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-10-05,61
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-10-12,62
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-10-19,62
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-10-26,54
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-11-02,66
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-11-09,77
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-11-16,86
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-11-23,83
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-11-30,86
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-12-07,94
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-12-14,100
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-12-21,89
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2025-12-28,71
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2026-01-04,60
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2026-01-11,57
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2026-01-18,59
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2026-01-25,63
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2026-02-01,58
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2026-02-08,62
06617bf5-bd23-42f2-aa63-66270983acd8,2026-02-21T17:29:48.158933,zapatillas,MX,MX,30,365,43.79,2026-02-15,65
