request_id,generated_at,keyword,country,region,window_days,baseline_days,trends_score,date,trend_value
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-02-16,61
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-02-23,56
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-03-02,61
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-03-09,63
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-03-16,62
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-03-23,63
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-03-30,54
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-04-06,60
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-04-13,62
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-04-20,67
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-04-27,67
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-05-04,70
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-05-11,71
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-05-18,68
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-05-25,69
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-06-01,76
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-06-08,73
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-06-15,72
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-06-22,78
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-06-29,86
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-07-06,94
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-07-13,83
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-07-20,73
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-07-27,67
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-08-03,66
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-08-10,64
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-08-17,61
dbe9a528-33ad-4d17-9ac4-653bf2b08ee7,2026-02-21T17:40:05.987485,zapatillas,MX,MX,30,365,43.79,2025-08-24,64
