request_id,generated_at,keyword,region,window_days,intent_score,videos_analyzed,total_views,video_id,video_title,video_views,video_engagement
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,t8O0f874wI4,Ranking Best Scooter Moments🛴,78980834,0.006028
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,tG8zfN9rKLg,UNBELIEVABLE Adjustable AIR Suspension on This Scooter! 💨,15907919,0.001935
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,xSOnMkNU74Y,Scooter gratis de +600€ 🤯,9926904,0.035236
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,VQ4zLbn1DTE,We TRIED to MAKE a TRAMPOLINE SCOOTER!😱,7712815,0.011995
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,Nd6FDzxp1Ik,🌀🌀கவின் ஸ்கூட்டி ஓட்டுநாளா இல்லையா?🤔 | #shorts #youtubeshorts #comedy #funny #scooter,5900782,0.019084
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,KimD2jwz_Mo,Biggest Challenge For Team | Winner Gets New Ather Scooter 😍,3177294,0.052933
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,a74AQq6A1_I,Scooter - Mannu Pahari | Kavita Joshi | Harjeet Deewana | Swara Verma | New Haryanvi Song 2026,4480724,0.018034
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,i69FO_L-EhE,कमाल का किड्स स्कूटी ₹499 में 😲✅#amazing #skooter #technology #trend #shorts,5428085,0.004642
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,q9NwYbYvSdE,Bangalore Ki Sadkon Par😱Proper Waterproof Roof Mini Scooty | Rain No Tension #Bangalore #Scooty #EV,5066555,0.004099
c3ffbada-3eb0-4ee8-a87c-b8369c171e74,2026-02-21T18:34:54.536574,scooter,MX,30,0.0177,25,178450935,FCluax97Gkk,She Found a Scooter on The Side of The Road 😂,4393323,1e-06
